time,coin,dir,px,sz,ntl,fee,closedPnl
2026/4/2 12:14:01,ETH,Open Long,2068.7,0.0241,49.855669999999996,0.021537,-0.021537
2026/4/2 14:29:55,ETH,Close Long,2044.4,0.0241,49.27004,0.021284,-0.606914
2026/4/2 14:34:33,ETH,Open Short,2043.9,0.0489,99.94671,0.043176,-0.043176
2026/4/2 14:41:59,ETH,Close Short,2047.7,0.0488,99.92776,0.043168,-0.22860799999999998
2026/4/5 5:02:28,ETH,Close Short,2063.9,0.0001,0.20639000000000002,0.000089,-0.002089
2026/4/5 5:03:24,ETH,Open Short,2060.4,0.097,199.8588,0.086339,-0.086339
2026/4/5 12:32:52,ETH,Close Short,2056,0.097,199.43200000000002,0.028718,0.398082
2026/4/5 14:30:49,ETH,Open Long,2051.7,0.1462,299.95853999999997,0.129582,-0.129582
2026/4/6 0:28:15,ETH,Close Long,2062,0.1461,301.2582,0.043381,1.461449
2026/4/6 2:11:30,ETH,Close Long,2055.3,0.0001,0.20553000000000002,0.000088,0.000272
2026/4/6 7:14:32,ETH,Open Short,2053.8,0.2923,600.3257400000001,0.25934,-0.25934
2026/4/12 7:51:13,ETH,Close Short,2294.9,0.2923,670.7992700000001,0.289785,-70.76331499999999
