time,coin,dir,px,sz,ntl,fee,closedPnl
2026/3/24 3:32:44,ETH,Open Long,2149.3,0.0228,49.00404,0.070173,-0.070173
2026/3/24 9:58:09,ETH,Long > Short,2141.9,0.0234,50.12046,0.071772,-0.240492
2026/3/24 10:01:21,ETH,Close Short,2141,0.0006,1.2846,0.001838,-0.0012980000000000001
2026/3/24 10:02:11,ETH,Open Long,2142.7,0.0234,50.139179999999996,0.071799,-0.071799
2026/3/26 1:26:45,ETH,Close Long,2174.1,0.0234,50.87394,0.07285,0.66191
2026/3/26 1:27:54,ETH,Open Short,2176.1434782609,0.023,50.051300000000694,0.071672,-0.071672
2026/3/26 11:31:47,ETH,Close Short,2149,0.023,49.427,0.070779,0.553441
2026/3/26 14:57:41,ETH,Open Long,2115.2,0.0951,201.15552,0.288054,-0.288054
2026/4/6 11:15:45,ETH,Close Long,2131.5251314406,0.0951,202.70804000000106,0.290276,1.262244
2026/4/6 11:16:40,ETH,Open Short,2134.7,0.2525,539.01175,0.771864,-0.771864
2026/4/7 8:00:21,ETH,Close Short,2099.5,0.2525,530.12375,0.759136,8.128864
2026/4/7 8:25:14,ETH,Open Short,2091.8,0.4166,871.4438800000001,1.247906,-1.247906
2026/4/13 9:57:55,ETH,Open Short,2204,0.2147,473.1988,0.677619,-0.677619
2026/4/14 8:30:04,ETH,Open Short,2386.1208843537,0.441,1052.2793099999817,1.506859,-1.506859
2026/4/18 20:13:14,ETH,Close Short,2352.8596774194,0.1488,350.1055200000067,0.501348,-17.994228
2026/4/27 22:43:28,ETH,Close Short,2313.3,0.2309,534.14097,0.764888,-18.775088
2026/4/28 0:35:00,ETH,Close Short,2280.7,0.3534,805.99938,1.15419,-17.19855
2026/5/5 21:08:41,ETH,Open Short,2379,0.5973,1420.9767000000002,2.034837,-2.034837
2026/5/6 21:51:49,ETH,Open Short,2410.1,0.593,1429.1892999999998,2.046598,-2.046598
2026/5/7 8:16:32,ETH,Close Short,2343.4,0.7495,1756.3783000000003,2.515133,9.319472
2026/5/7 11:35:46,ETH,Close Short,2318.7,0.3433,796.0097099999999,1.139885,12.760332
2026/5/8 10:37:34,ETH,Close Short,2284,0.4367,997.4227999999999,1.428308,31.407165
2026/5/8 10:40:06,ETH,Open Long,2286,0.5009,1145.0574,1.639721,-1.639721
2026/5/10 18:06:05,ETH,Open Long,2331.7,0.3131,730.05527,1.045438,-1.045438
2026/5/11 8:16:51,ETH,Close Long,2378.7,0.814,1936.2617999999998,2.772726,58.383094
2026/5/11 8:26:41,ETH,Open Short,2374,0.233,553.142,0.792099,-0.792099
